,symbol,signal,req,trades,pv,minutes,retrack_days
272,btc,0.35,0.05,0,100.0,,4
273,btc,0.35,0.1,0,100.0,,4
274,btc,0.35,0.15,0,100.0,,4
275,btc,0.35,0.2,0,100.0,,4
276,btc,0.35,0.25,0,100.0,,4
277,btc,0.35,0.3,0,100.0,,4
279,btc,0.35,0.4,0,100.0,,4
270,btc,0.3,0.35,0,100.0,,4
280,btc,0.4,0.05,0,100.0,,4
281,btc,0.4,0.1,0,100.0,,4
282,btc,0.4,0.15,0,100.0,,4
283,btc,0.4,0.2,0,100.0,,4
284,btc,0.4,0.25,0,100.0,,4
285,btc,0.4,0.3,0,100.0,,4
271,btc,0.3,0.4,0,100.0,,4
269,btc,0.3,0.3,0,100.0,,4
213,btc,0.4,0.3,0,100.0,,3
220,btc,0.0,0.25,0,100.0,,4
214,btc,0.4,0.35,0,100.0,,3
215,btc,0.4,0.4,0,100.0,,3
216,btc,0.0,0.05,0,100.0,,4
217,btc,0.0,0.1,0,100.0,,4
218,btc,0.0,0.15,0,100.0,,4
219,btc,0.0,0.2,0,100.0,,4
221,btc,0.0,0.3,0,100.0,,4
268,btc,0.3,0.25,0,100.0,,4
222,btc,0.0,0.35,0,100.0,,4
223,btc,0.0,0.4,0,100.0,,4
264,btc,0.3,0.05,0,100.0,,4
265,btc,0.3,0.1,0,100.0,,4
266,btc,0.3,0.15,0,100.0,,4
267,btc,0.3,0.2,0,100.0,,4
137,btc,0.4,0.1,0,100.0,,2
135,btc,0.35,0.4,0,100.0,,2
287,btc,0.4,0.4,0,100.0,,4
58,btc,0.35,0.15,0,100.0,,1
52,btc,0.3,0.25,0,100.0,,1
53,btc,0.3,0.3,0,100.0,,1
54,btc,0.3,0.35,0,100.0,,1
55,btc,0.3,0.4,0,100.0,,1
56,btc,0.35,0.05,0,100.0,,1
57,btc,0.35,0.1,0,100.0,,1
59,btc,0.35,0.2,0,100.0,,1
50,btc,0.3,0.15,0,100.0,,1
60,btc,0.35,0.25,0,100.0,,1
61,btc,0.35,0.3,0,100.0,,1
62,btc,0.35,0.35,0,100.0,,1
63,btc,0.35,0.4,0,100.0,,1
64,btc,0.4,0.05,0,100.0,,1
65,btc,0.4,0.1,0,100.0,,1
51,btc,0.3,0.2,0,100.0,,1
49,btc,0.3,0.1,0,100.0,,1
67,btc,0.4,0.2,0,100.0,,1
40,btc,0.25,0.05,0,100.0,,1
2,btc,0.0,0.15,0,100.0,,1
3,btc,0.0,0.2,0,100.0,,1
4,btc,0.0,0.25,0,100.0,,1
5,btc,0.0,0.3,0,100.0,,1
6,btc,0.0,0.35,0,100.0,,1
7,btc,0.0,0.4,0,100.0,,1
41,btc,0.25,0.1,0,100.0,,1
48,btc,0.3,0.05,0,100.0,,1
42,btc,0.25,0.15,0,100.0,,1
43,btc,0.25,0.2,0,100.0,,1
44,btc,0.25,0.25,0,100.0,,1
45,btc,0.25,0.3,0,100.0,,1
46,btc,0.25,0.35,0,100.0,,1
47,btc,0.25,0.4,0,100.0,,1
66,btc,0.4,0.15,0,100.0,,1
68,btc,0.4,0.25,0,100.0,,1
134,btc,0.35,0.35,0,100.0,,2
126,btc,0.3,0.35,0,100.0,,2
120,btc,0.3,0.05,0,100.0,,2
121,btc,0.3,0.1,0,100.0,,2
122,btc,0.3,0.15,0,100.0,,2
123,btc,0.3,0.2,0,100.0,,2
124,btc,0.3,0.25,0,100.0,,2
125,btc,0.3,0.3,0,100.0,,2
127,btc,0.3,0.4,0,100.0,,2
118,btc,0.25,0.35,0,100.0,,2
128,btc,0.35,0.05,0,100.0,,2
129,btc,0.35,0.1,0,100.0,,2
130,btc,0.35,0.15,0,100.0,,2
131,btc,0.35,0.2,0,100.0,,2
132,btc,0.35,0.25,0,100.0,,2
133,btc,0.35,0.3,0,100.0,,2
119,btc,0.25,0.4,0,100.0,,2
117,btc,0.25,0.3,0,100.0,,2
69,btc,0.4,0.3,0,100.0,,1
76,btc,0.0,0.25,0,100.0,,2
70,btc,0.4,0.35,0,100.0,,1
71,btc,0.4,0.4,0,100.0,,1
72,btc,0.0,0.05,0,100.0,,2
73,btc,0.0,0.1,0,100.0,,2
74,btc,0.0,0.15,0,100.0,,2
75,btc,0.0,0.2,0,100.0,,2
77,btc,0.0,0.3,0,100.0,,2
116,btc,0.25,0.25,0,100.0,,2
78,btc,0.0,0.35,0,100.0,,2
79,btc,0.0,0.4,0,100.0,,2
112,btc,0.25,0.05,0,100.0,,2
113,btc,0.25,0.1,0,100.0,,2
114,btc,0.25,0.15,0,100.0,,2
115,btc,0.25,0.2,0,100.0,,2
286,btc,0.4,0.35,0,100.0,,4
288,btc,0.0,0.05,0,100.0,,5
574,eth,0.4,0.35,0,100.0,,2
490,eth,0.35,0.15,0,100.0,,1
484,eth,0.3,0.25,0,100.0,,1
485,eth,0.3,0.3,0,100.0,,1
486,eth,0.3,0.35,0,100.0,,1
487,eth,0.3,0.4,0,100.0,,1
488,eth,0.35,0.05,0,100.0,,1
489,eth,0.35,0.1,0,100.0,,1
491,eth,0.35,0.2,0,100.0,,1
482,eth,0.3,0.15,0,100.0,,1
492,eth,0.35,0.25,0,100.0,,1
493,eth,0.35,0.3,0,100.0,,1
